,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,41.96,0.0,0,0.0,efficientdet_lite1_detection_metadata_1,0.5,0.0,53.0,0.0
1,41.96,9.0,0,0.0,efficientdet_lite1_detection_metadata_1,0.5,0.303856,52.5,0.303856
2,41.96,3.9,1,0.429924,efficientdet_lite1_detection_metadata_1,0.12499999999999994,0.303856,51.0,0.429924
3,41.96,79.3,1,0.429924,efficientdet_lite1_detection_metadata_1,0.12499999999999994,0.358688,52.0,0.788612
4,41.96,0.0,2,0.359425,efficientdet_lite1_detection_metadata_1,0.0,0.358688,52.0,0.789349
5,41.96,78.9,2,0.359425,efficientdet_lite1_detection_metadata_1,0.0,0.322174,53.0,1.111523
6,41.96,0.0,3,0.322948,efficientdet_lite1_detection_metadata_1,0.0,0.322174,53.0,1.112297
7,41.96,79.5,3,0.322948,efficientdet_lite1_detection_metadata_1,0.0,0.307506,52.5,1.4198030000000001
8,41.96,0.0,4,0.308273,efficientdet_lite1_detection_metadata_1,0.0,0.307506,52.5,1.42057
9,41.96,80.3,4,0.308273,efficientdet_lite1_detection_metadata_1,0.0,0.307515,53.0,1.728085
10,41.96,0.0,5,0.308319,efficientdet_lite1_detection_metadata_1,0.0,0.307515,53.0,1.7288890000000001
11,41.96,81.0,5,0.308319,efficientdet_lite1_detection_metadata_1,0.0,0.307544,53.0,2.036433
12,30.55,0.0,6,0.308745,efficientdet_lite1_detection_metadata_1,0.0,0.307544,53.0,2.037634
13,30.55,84.4,6,0.308745,efficientdet_lite1_detection_metadata_1,0.0,0.315263,52.5,2.352897
14,30.55,0.0,7,0.316504,efficientdet_lite1_detection_metadata_1,0.0,0.315263,52.5,2.3541380000000003
15,30.55,83.6,7,0.316504,efficientdet_lite1_detection_metadata_1,0.0,0.33568,52.0,2.6898180000000003
16,30.55,0.0,8,0.33697,efficientdet_lite1_detection_metadata_1,0.0,0.33568,52.0,2.6911080000000003
17,30.55,81.1,8,0.33697,efficientdet_lite1_detection_metadata_1,0.0,0.312525,52.0,3.003633
18,30.55,0.0,9,0.313831,efficientdet_lite1_detection_metadata_1,0.0,0.312525,52.0,3.0049390000000002
19,30.55,78.6,9,0.313831,efficientdet_lite1_detection_metadata_1,0.0,0.315172,52.0,3.3201110000000003
20,30.55,0.0,10,0.31639,efficientdet_lite1_detection_metadata_1,0.0,0.315172,52.0,3.3213290000000004
21,30.55,83.2,10,0.31639,efficientdet_lite1_detection_metadata_1,0.0,0.330934,52.5,3.6522630000000005
22,30.55,100.0,11,0.332243,efficientdet_lite1_detection_metadata_1,0.0,0.330934,52.5,3.6535720000000005
23,30.55,78.8,11,0.332243,efficientdet_lite1_detection_metadata_1,0.0,0.330855,52.0,3.9844270000000006
24,30.55,0.0,12,0.332104,efficientdet_lite1_detection_metadata_1,0.0,0.330855,52.0,3.985676
25,30.55,82.4,12,0.332104,efficientdet_lite1_detection_metadata_1,0.0,0.379532,52.5,4.365208
26,30.55,0.0,13,0.380765,efficientdet_lite1_detection_metadata_1,0.0,0.379532,52.5,4.366441
27,30.55,80.6,13,0.380765,efficientdet_lite1_detection_metadata_1,0.0,0.308636,52.0,4.675077
28,30.55,0.0,14,0.309917,efficientdet_lite1_detection_metadata_1,0.0,0.308636,52.0,4.6763580000000005
29,30.55,82.4,14,0.309917,efficientdet_lite1_detection_metadata_1,0.0,0.352365,52.5,5.028723
30,30.55,0.0,15,0.353611,efficientdet_lite1_detection_metadata_1,0.0,0.352365,52.5,5.029969
31,30.55,80.2,15,0.353611,efficientdet_lite1_detection_metadata_1,0.0,0.305212,52.5,5.335181
32,30.55,0.0,16,0.306443,efficientdet_lite1_detection_metadata_1,0.0,0.305212,52.5,5.336412
33,30.55,79.2,16,0.306443,efficientdet_lite1_detection_metadata_1,0.0,0.316217,52.0,5.652629
34,30.55,0.0,17,0.317495,efficientdet_lite1_detection_metadata_1,0.0,0.316217,52.0,5.653907
35,30.55,79.0,17,0.317495,efficientdet_lite1_detection_metadata_1,0.0,0.35834,54.0,6.012247
36,30.55,100.0,18,0.359671,efficientdet_lite1_detection_metadata_1,0.0,0.35834,54.0,6.013578
37,30.55,79.1,18,0.359671,efficientdet_lite1_detection_metadata_1,0.0,0.348741,55.0,6.362319
38,30.55,0.0,19,0.349972,efficientdet_lite1_detection_metadata_1,0.0,0.348741,55.0,6.36355
39,30.55,81.8,19,0.349972,efficientdet_lite1_detection_metadata_1,0.0,0.372338,53.0,6.735888
40,30.55,0.0,20,0.373588,efficientdet_lite1_detection_metadata_1,0.0,0.372338,51.5,6.737138
41,30.55,79.4,20,0.373588,efficientdet_lite1_detection_metadata_1,0.0,0.312946,52.5,7.050084
42,30.55,0.0,21,0.314141,efficientdet_lite1_detection_metadata_1,0.0,0.312946,52.5,7.051279
43,30.55,80.0,21,0.314141,efficientdet_lite1_detection_metadata_1,0.0,0.363826,53.0,7.4151050000000005
44,30.55,0.0,22,0.365051,efficientdet_lite1_detection_metadata_1,0.0,0.363826,53.0,7.41633
45,30.55,78.2,22,0.365051,efficientdet_lite1_detection_metadata_1,0.0,0.313553,52.0,7.729883
46,30.55,0.0,23,0.314812,efficientdet_lite1_detection_metadata_1,0.0,0.313553,52.0,7.731142000000001
47,30.55,78.2,23,0.314812,efficientdet_lite1_detection_metadata_1,0.0,0.337017,52.5,8.068159000000001
48,30.55,0.0,24,0.338256,efficientdet_lite1_detection_metadata_1,0.0,0.337017,52.5,8.069398000000001
49,30.55,78.7,24,0.338256,efficientdet_lite1_detection_metadata_1,0.0,0.312892,52.5,8.382290000000001
50,30.55,0.0,25,0.314123,efficientdet_lite1_detection_metadata_1,0.0,0.312892,52.5,8.383521000000002
51,30.55,81.6,25,0.314123,efficientdet_lite1_detection_metadata_1,0.0,0.311018,53.0,8.694539000000002
52,30.55,0.0,26,0.312247,efficientdet_lite1_detection_metadata_1,0.0,0.311018,53.0,8.695768000000001
53,30.55,80.2,26,0.312247,efficientdet_lite1_detection_metadata_1,0.0,0.322099,52.5,9.017867
54,30.55,100.0,27,0.323861,efficientdet_lite1_detection_metadata_1,0.0,0.322099,52.5,9.019629000000002
55,30.55,77.1,27,0.323861,efficientdet_lite1_detection_metadata_1,0.0,0.298227,52.5,9.317856000000003
56,30.55,50.0,28,0.299533,efficientdet_lite1_detection_metadata_1,0.0,0.298227,52.5,9.319162000000002
57,30.55,82.3,28,0.299533,efficientdet_lite1_detection_metadata_1,0.0,0.330401,53.0,9.649563000000002
58,30.55,100.0,29,0.331709,efficientdet_lite1_detection_metadata_1,0.0,0.330401,53.0,9.650871000000002
59,30.55,79.7,29,0.331709,efficientdet_lite1_detection_metadata_1,0.0,0.318091,53.0,9.968962000000003
60,30.55,100.0,30,0.319382,efficientdet_lite1_detection_metadata_1,0.0,0.318091,53.0,9.970253000000001
61,30.55,80.0,30,0.319382,efficientdet_lite1_detection_metadata_1,0.0,0.383897,53.0,10.35415
62,30.55,0.0,31,0.385125,efficientdet_lite1_detection_metadata_1,0.0,0.383897,53.0,10.355378000000002
63,30.55,80.3,31,0.385125,efficientdet_lite1_detection_metadata_1,0.0,0.313837,52.5,10.669215000000001
64,30.55,0.0,32,0.315074,efficientdet_lite1_detection_metadata_1,0.0,0.313837,52.5,10.670452000000001
65,30.55,80.7,32,0.315074,efficientdet_lite1_detection_metadata_1,0.0,0.353343,53.0,11.023795000000002
66,30.55,0.0,33,0.3546,efficientdet_lite1_detection_metadata_1,0.0,0.353343,53.0,11.025052
67,30.55,79.2,33,0.3546,efficientdet_lite1_detection_metadata_1,0.0,0.310013,55.0,11.335065
68,30.55,0.0,34,0.311591,efficientdet_lite1_detection_metadata_1,0.0,0.310013,54.0,11.336643
69,30.55,83.1,34,0.311591,efficientdet_lite1_detection_metadata_1,0.0,0.329147,54.0,11.665790000000001
70,30.55,100.0,35,0.330508,efficientdet_lite1_detection_metadata_1,0.0,0.329147,54.0,11.667151
71,30.55,79.6,35,0.330508,efficientdet_lite1_detection_metadata_1,0.0,0.27368,53.5,11.940831000000001
72,30.55,0.0,36,0.274905,efficientdet_lite1_detection_metadata_1,0.0,0.27368,53.5,11.942056000000001
73,30.55,79.4,36,0.274905,efficientdet_lite1_detection_metadata_1,0.0,0.320301,53.0,12.262357000000002
74,30.55,0.0,37,0.321605,efficientdet_lite1_detection_metadata_1,0.0,0.320301,53.0,12.263661
75,30.55,78.7,37,0.321605,efficientdet_lite1_detection_metadata_1,0.0,0.277205,53.0,12.540866000000001
76,30.55,0.0,38,0.278455,efficientdet_lite1_detection_metadata_1,0.0,0.277205,53.0,12.542116
77,30.55,82.2,38,0.278455,efficientdet_lite1_detection_metadata_1,0.0,0.321025,52.5,12.863141
78,30.55,66.7,39,0.32282,efficientdet_lite1_detection_metadata_1,0.0,0.321025,52.5,12.864936
79,30.55,78.0,39,0.32282,efficientdet_lite1_detection_metadata_1,0.0,0.296463,53.0,13.161399
80,30.55,0.0,40,0.297695,efficientdet_lite1_detection_metadata_1,0.0,0.296463,53.0,13.162631
81,30.55,83.7,40,0.297695,efficientdet_lite1_detection_metadata_1,0.0,0.32007,55.0,13.482700999999999
82,30.55,0.0,41,0.321386,efficientdet_lite1_detection_metadata_1,0.0,0.32007,55.0,13.484017
83,30.55,80.8,41,0.321386,efficientdet_lite1_detection_metadata_1,0.0,0.311889,53.0,13.795906
84,30.55,0.0,42,0.31312,efficientdet_lite1_detection_metadata_1,0.0,0.311889,53.0,13.797137
85,30.55,80.8,42,0.31312,efficientdet_lite1_detection_metadata_1,0.0,0.378962,53.0,14.176098999999999
86,30.55,0.0,43,0.380194,efficientdet_lite1_detection_metadata_1,0.0,0.378962,53.0,14.177330999999999
87,30.55,79.5,43,0.380194,efficientdet_lite1_detection_metadata_1,0.0,0.304403,53.0,14.481734
88,30.55,0.0,44,0.305632,efficientdet_lite1_detection_metadata_1,0.0,0.304403,53.0,14.482962999999998
89,30.55,80.4,44,0.305632,efficientdet_lite1_detection_metadata_1,0.0,0.369283,54.5,14.852245999999997
90,30.55,0.0,45,0.370576,efficientdet_lite1_detection_metadata_1,0.0,0.369283,54.5,14.853538999999998
91,30.55,78.9,45,0.370576,efficientdet_lite1_detection_metadata_1,0.0,0.314996,52.5,15.168534999999999
92,30.55,0.0,46,0.316224,efficientdet_lite1_detection_metadata_1,0.0,0.314996,52.5,15.169762999999998
93,30.55,80.2,46,0.316224,efficientdet_lite1_detection_metadata_1,0.0,0.310348,53.0,15.480110999999997
94,30.55,0.0,47,0.311576,efficientdet_lite1_detection_metadata_1,0.0,0.310348,53.0,15.481338999999998
95,30.55,79.8,47,0.311576,efficientdet_lite1_detection_metadata_1,0.0,0.315937,53.0,15.797275999999998
96,30.55,0.0,48,0.317157,efficientdet_lite1_detection_metadata_1,0.0,0.315937,53.0,15.798495999999998
97,30.55,79.7,48,0.317157,efficientdet_lite1_detection_metadata_1,0.0,0.312813,52.5,16.111309
98,30.55,0.0,49,0.314043,efficientdet_lite1_detection_metadata_1,0.0,0.312813,52.5,16.112539
99,30.55,78.7,49,0.314043,efficientdet_lite1_detection_metadata_1,0.0,0.309957,52.5,16.422496000000002
100,30.55,0.0,50,0.311195,efficientdet_lite1_detection_metadata_1,0.0,0.309957,52.5,16.423734000000003
101,30.55,77.1,50,0.311195,efficientdet_lite1_detection_metadata_1,0.0,0.269832,55.0,16.693566000000004
102,30.55,0.0,51,0.271055,efficientdet_lite1_detection_metadata_1,0.0,0.269832,55.0,16.694789000000004
103,30.55,80.0,51,0.271055,efficientdet_lite1_detection_metadata_1,0.0,0.318924,53.0,17.013713000000003
104,30.55,0.0,52,0.320165,efficientdet_lite1_detection_metadata_1,0.0,0.318924,53.0,17.014954000000003
105,30.55,79.7,52,0.320165,efficientdet_lite1_detection_metadata_1,0.0,0.31626,52.5,17.331214000000003
106,30.55,0.0,53,0.317557,efficientdet_lite1_detection_metadata_1,0.0,0.31626,52.5,17.332511000000004
107,30.55,80.0,53,0.317557,efficientdet_lite1_detection_metadata_1,0.0,0.322213,54.5,17.654724000000005
108,30.55,100.0,54,0.323542,efficientdet_lite1_detection_metadata_1,0.0,0.322213,54.5,17.656053000000004
109,30.55,78.9,54,0.323542,efficientdet_lite1_detection_metadata_1,0.0,0.286542,52.5,17.942595000000004
110,30.55,0.0,55,0.287822,efficientdet_lite1_detection_metadata_1,0.0,0.286542,52.5,17.943875000000002
111,30.55,81.8,55,0.287822,efficientdet_lite1_detection_metadata_1,0.0,0.328732,55.0,18.272607
112,30.55,0.0,56,0.329971,efficientdet_lite1_detection_metadata_1,0.0,0.328732,55.0,18.273846000000002
113,30.55,81.3,56,0.329971,efficientdet_lite1_detection_metadata_1,0.0,0.331099,53.0,18.604945
114,30.55,0.0,57,0.3324,efficientdet_lite1_detection_metadata_1,0.0,0.331099,53.0,18.606246000000002
115,30.55,82.6,57,0.3324,efficientdet_lite1_detection_metadata_1,0.0,0.375996,53.5,18.982242000000003
116,30.55,0.0,58,0.377216,efficientdet_lite1_detection_metadata_1,0.0,0.375996,53.5,18.983462000000003
117,30.55,80.5,58,0.377216,efficientdet_lite1_detection_metadata_1,0.0,0.308004,53.0,19.291466000000003
118,30.55,0.0,59,0.309286,efficientdet_lite1_detection_metadata_1,0.0,0.308004,53.0,19.292748000000003
119,30.55,79.9,59,0.309286,efficientdet_lite1_detection_metadata_1,0.0,0.354104,54.5,19.646852000000003
120,30.55,100.0,60,0.355377,efficientdet_lite1_detection_metadata_1,0.0,0.354104,54.5,19.648125000000004
121,30.55,79.7,60,0.355377,efficientdet_lite1_detection_metadata_1,0.0,0.309818,53.5,19.957943000000004
122,30.55,100.0,61,0.311052,efficientdet_lite1_detection_metadata_1,0.0,0.309818,53.5,19.959177000000004
123,30.55,79.5,61,0.311052,efficientdet_lite1_detection_metadata_1,0.0,0.316134,53.5,20.275311000000006
124,30.55,0.0,62,0.317363,efficientdet_lite1_detection_metadata_1,0.0,0.316134,53.5,20.276540000000004
125,30.55,80.9,62,0.317363,efficientdet_lite1_detection_metadata_1,0.0,0.322337,53.5,20.598877000000005
126,30.55,0.0,63,0.323572,efficientdet_lite1_detection_metadata_1,0.0,0.322337,53.5,20.600112000000003
127,30.55,82.8,63,0.323572,efficientdet_lite1_detection_metadata_1,0.0,0.320509,53.5,20.920621000000004
128,30.55,50.0,64,0.321812,efficientdet_lite1_detection_metadata_1,0.0,0.320509,53.5,20.921924000000004
129,30.55,81.4,64,0.321812,efficientdet_lite1_detection_metadata_1,0.0,0.322294,53.0,21.244218000000004
130,30.55,100.0,65,0.32365,efficientdet_lite1_detection_metadata_1,0.0,0.322294,53.0,21.245574000000005
131,30.55,80.9,65,0.32365,efficientdet_lite1_detection_metadata_1,0.0,0.288523,54.0,21.534097000000006
132,30.55,0.0,66,0.289775,efficientdet_lite1_detection_metadata_1,0.0,0.288523,54.0,21.535349000000004
133,30.55,80.0,66,0.289775,efficientdet_lite1_detection_metadata_1,0.0,0.315343,54.5,21.850692000000002
134,30.55,100.0,67,0.316682,efficientdet_lite1_detection_metadata_1,0.0,0.315343,54.5,21.852031000000004
135,30.55,79.6,67,0.316682,efficientdet_lite1_detection_metadata_1,0.0,0.273858,55.0,22.125889000000004
136,30.55,100.0,68,0.275095,efficientdet_lite1_detection_metadata_1,0.0,0.273858,55.0,22.127126000000004
137,30.55,79.8,68,0.275095,efficientdet_lite1_detection_metadata_1,0.0,0.316454,53.5,22.443580000000004
138,30.55,0.0,69,0.31769,efficientdet_lite1_detection_metadata_1,0.0,0.316454,53.5,22.444816000000003
139,30.55,78.9,69,0.31769,efficientdet_lite1_detection_metadata_1,0.0,0.314587,53.0,22.759403000000002
140,30.55,0.0,70,0.315786,efficientdet_lite1_detection_metadata_1,0.0,0.314587,53.0,22.760602000000002
141,30.55,81.1,70,0.315786,efficientdet_lite1_detection_metadata_1,0.0,0.321096,53.5,23.081698000000003
142,30.55,0.0,71,0.322381,efficientdet_lite1_detection_metadata_1,0.0,0.321096,53.5,23.082983000000002
143,30.55,82.6,71,0.322381,efficientdet_lite1_detection_metadata_1,0.0,0.290042,53.5,23.373025000000002
144,30.55,0.0,72,0.291263,efficientdet_lite1_detection_metadata_1,0.0,0.290042,53.5,23.374246000000003
145,30.55,81.0,72,0.291263,efficientdet_lite1_detection_metadata_1,0.0,0.310507,53.5,23.684753000000004
