,iterator_record,time_record,temp_record_CPU,cpu_record,processing_duration_record,pause_duration_record,loop_duration_record,net_record,avg_accuracy_record,action_record
0,0,0.0,53.0,0.0,0.0,0.5,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
1,0,1.37872,42.0,3.3,1.37872,0.5,0.0,efficientdet_lite4_detection_metadata_2,0.4196,NA
2,1,1.880716,41.0,3.9,1.37872,0.5,1.880716,efficientdet_lite4_detection_metadata_2,0.4196,NA
3,1,3.245682,42.0,85.2,1.364966,0.5,1.880716,efficientdet_lite4_detection_metadata_2,0.4196,NA
4,2,3.747694,41.0,3.5,1.364966,0.5,1.866978,efficientdet_lite4_detection_metadata_2,0.4196,NA
5,2,5.128897,42.0,84.4,1.381203,0.5,1.866978,efficientdet_lite4_detection_metadata_2,0.4196,NA
6,3,5.631243,40.5,4.5,1.381203,0.5,1.883549,efficientdet_lite4_detection_metadata_2,0.4196,NA
7,3,7.005199,42.0,85.1,1.373956,0.5,1.883549,efficientdet_lite4_detection_metadata_2,0.4196,NA
8,4,7.507176000000001,41.0,7.0,1.373956,0.5,1.875933,efficientdet_lite4_detection_metadata_2,0.4196,NA
9,4,8.892803,42.5,84.3,1.385627,0.5,1.875933,efficientdet_lite4_detection_metadata_2,0.4196,NA
10,5,9.394722000000002,41.0,2.0,1.385627,0.5,1.887546,efficientdet_lite4_detection_metadata_2,0.4196,NA
11,5,10.764599000000002,42.5,85.3,1.369877,0.5,1.887546,efficientdet_lite4_detection_metadata_2,0.4196,NA
12,6,11.269526,41.0,3.0,1.369877,0.5,1.874804,efficientdet_lite4_detection_metadata_2,0.4196,NA
13,6,12.637027000000002,43.0,85.4,1.367501,0.5,1.874804,efficientdet_lite4_detection_metadata_2,0.4196,NA
14,7,13.141680000000001,41.5,2.5,1.367501,0.5,1.872154,efficientdet_lite4_detection_metadata_2,0.4196,NA
15,7,14.510302000000001,43.0,85.2,1.368622,0.5,1.872154,efficientdet_lite4_detection_metadata_2,0.4196,NA
16,8,15.01525,41.5,2.0,1.368622,0.5,1.87357,efficientdet_lite4_detection_metadata_2,0.4196,NA
17,8,16.387873,43.0,84.8,1.372623,0.5,1.87357,efficientdet_lite4_detection_metadata_2,0.4196,NA
18,9,16.892729999999997,41.5,2.5,1.372623,0.5,1.87748,efficientdet_lite4_detection_metadata_2,0.4196,NA
19,9,18.260726999999996,43.0,85.1,1.367997,0.5,1.87748,efficientdet_lite4_detection_metadata_2,0.4196,NA
