,strat_record,TAC_record
0,1,0
1,2,0
2,3,0
3,4,0
4,1,1
5,2,1
6,3,1
7,4,1
8,1,10
9,2,10
10,3,10
11,4,10
12,1,1000
13,2,1000
14,3,1000
15,4,1000
