,avg_accuracy_record,cpu_record,iterator_record,loop_duration_record,net_record,pause_duration_record,processing_duration_record,temp_record_CPU,time_record
0,41.96,0.0,0,0.0,efficientdet_lite3_detection_metadata_1,1.5,0.0,50.0,0.0
1,41.96,30.1,0,0.0,efficientdet_lite3_detection_metadata_1,1.5,0.707133,53.0,0.707133
2,41.96,9.4,1,2.109755,efficientdet_lite3_detection_metadata_1,1.4,0.707133,50.0,2.109755
3,41.96,83.7,1,2.109755,efficientdet_lite3_detection_metadata_1,1.4,0.717642,53.0,2.827397
4,41.96,6.3,2,2.020609,efficientdet_lite3_detection_metadata_1,1.2999999999999998,0.717642,50.0,4.130364
5,41.96,83.9,2,2.020609,efficientdet_lite3_detection_metadata_1,1.2999999999999998,0.693161,52.5,4.823525
6,41.96,8.9,3,1.870141,efficientdet_lite3_detection_metadata_1,1.1749999999999998,0.693161,50.5,6.000505
7,41.96,85.9,3,1.870141,efficientdet_lite3_detection_metadata_1,1.1749999999999998,0.682924,51.5,6.683429
8,41.96,7.6,4,1.685488,efficientdet_lite3_detection_metadata_1,0.9999999999999998,0.682924,50.0,7.685993
9,41.96,83.8,4,1.685488,efficientdet_lite3_detection_metadata_1,0.9999999999999998,0.683589,52.5,8.369582
10,41.96,7.0,5,1.561211,efficientdet_lite3_detection_metadata_1,0.8749999999999998,0.683589,50.0,9.247204
11,41.96,83.5,5,1.561211,efficientdet_lite3_detection_metadata_1,0.8749999999999998,0.691879,51.5,9.939083
12,37.7,8.2,6,1.399542,efficientdet_lite3_detection_metadata_1,0.6999999999999997,0.691879,50.0,10.646746
13,37.7,83.0,6,1.399542,efficientdet_lite3_detection_metadata_1,0.6999999999999997,0.671834,51.0,11.31858
14,37.7,8.9,7,1.180062,efficientdet_lite3_detection_metadata_1,0.4999999999999997,0.671834,50.0,11.826808
15,37.7,84.6,7,1.180062,efficientdet_lite3_detection_metadata_1,0.4999999999999997,0.686737,51.5,12.513545
16,37.7,7.0,8,1.020285,efficientdet_lite3_detection_metadata_1,0.32499999999999973,0.686737,50.5,12.847093
17,37.7,83.1,8,1.020285,efficientdet_lite3_detection_metadata_1,0.32499999999999973,0.706665,53.5,13.553757999999998
18,37.7,11.1,9,0.958208,efficientdet_lite3_detection_metadata_1,0.24999999999999972,0.706665,53.0,13.805300999999998
19,37.7,84.1,9,0.958208,efficientdet_lite3_detection_metadata_1,0.24999999999999972,0.723326,53.5,14.528626999999998
20,37.7,2.8,10,0.90341,efficientdet_lite3_detection_metadata_1,0.1749999999999997,0.723326,51.0,14.708710999999997
21,37.7,83.5,10,0.90341,efficientdet_lite3_detection_metadata_1,0.1749999999999997,0.699917,53.5,15.408627999999997
22,37.7,4.8,11,0.802481,efficientdet_lite3_detection_metadata_1,0.0999999999999997,0.699917,51.0,15.511191999999998
23,37.7,84.3,11,0.802481,efficientdet_lite3_detection_metadata_1,0.0999999999999997,0.697387,53.5,16.208578999999997
24,37.7,0.0,12,0.723741,efficientdet_lite3_detection_metadata_1,0.02499999999999969,0.697387,51.5,16.234932999999998
25,37.7,84.1,12,0.723741,efficientdet_lite3_detection_metadata_1,0.02499999999999969,0.701681,53.5,16.936614
26,37.7,0.0,13,0.70291,efficientdet_lite3_detection_metadata_1,0.0,0.701681,53.5,16.937842999999997
27,37.7,84.3,13,0.70291,efficientdet_lite3_detection_metadata_1,0.0,0.701049,53.5,17.638892
28,37.7,100.0,14,0.702347,efficientdet_lite3_detection_metadata_1,0.0,0.701049,53.5,17.640189999999997
29,37.7,83.9,14,0.702347,efficientdet_lite3_detection_metadata_1,0.0,0.702944,51.5,18.343133999999996
30,37.7,0.0,15,0.704171,efficientdet_lite3_detection_metadata_1,0.0,0.702944,51.5,18.344360999999996
31,37.7,83.7,15,0.704171,efficientdet_lite3_detection_metadata_1,0.0,0.702172,52.0,19.046532999999997
32,37.7,0.0,16,0.703408,efficientdet_lite3_detection_metadata_1,0.0,0.702172,52.0,19.047768999999995
33,37.7,83.4,16,0.703408,efficientdet_lite3_detection_metadata_1,0.0,0.66966,51.5,19.717428999999996
34,37.7,0.0,17,0.670926,efficientdet_lite3_detection_metadata_1,0.0,0.66966,51.5,19.718694999999997
35,37.7,84.0,17,0.670926,efficientdet_lite3_detection_metadata_1,0.0,0.637329,52.5,20.356023999999998
36,37.7,100.0,18,0.63878,efficientdet_lite3_detection_metadata_1,0.0,0.637329,52.5,20.357474999999997
37,37.7,86.0,18,0.63878,efficientdet_lite3_detection_metadata_1,0.0,0.657824,52.5,21.015299
38,37.7,0.0,19,0.659049,efficientdet_lite3_detection_metadata_1,0.0,0.657824,52.5,21.016523999999997
39,37.7,83.2,19,0.659049,efficientdet_lite3_detection_metadata_1,0.0,0.716533,51.5,21.733056999999995
40,37.7,0.0,20,0.717764,efficientdet_lite3_detection_metadata_1,0.0,0.716533,51.5,21.734287999999996
41,37.7,84.5,20,0.717764,efficientdet_lite3_detection_metadata_1,0.0,0.718715,54.0,22.453002999999995
42,37.7,0.0,21,0.719934,efficientdet_lite3_detection_metadata_1,0.0,0.718715,54.0,22.454221999999994
43,37.7,84.7,21,0.719934,efficientdet_lite3_detection_metadata_1,0.0,0.694729,54.5,23.148950999999993
44,37.7,0.0,22,0.695951,efficientdet_lite3_detection_metadata_1,0.0,0.694729,54.5,23.150172999999995
45,37.7,83.9,22,0.695951,efficientdet_lite3_detection_metadata_1,0.0,0.696539,52.0,23.846711999999997
46,37.7,0.0,23,0.697771,efficientdet_lite3_detection_metadata_1,0.0,0.696539,52.0,23.847943999999995
47,37.7,83.6,23,0.697771,efficientdet_lite3_detection_metadata_1,0.0,0.661591,52.0,24.509534999999996
48,37.7,0.0,24,0.662893,efficientdet_lite3_detection_metadata_1,0.0,0.661591,52.0,24.510836999999995
49,37.7,85.2,24,0.662893,efficientdet_lite3_detection_metadata_1,0.0,0.689917,53.0,25.200753999999996
50,37.7,50.0,25,0.6912,efficientdet_lite3_detection_metadata_1,0.0,0.689917,53.0,25.202036999999994
51,37.7,85.1,25,0.6912,efficientdet_lite3_detection_metadata_1,0.0,0.70907,52.0,25.911106999999994
52,37.7,0.0,26,0.710307,efficientdet_lite3_detection_metadata_1,0.0,0.70907,52.0,25.912343999999994
53,37.7,84.0,26,0.710307,efficientdet_lite3_detection_metadata_1,0.0,0.710565,52.5,26.622908999999993
54,37.7,0.0,27,0.711805,efficientdet_lite3_detection_metadata_1,0.0,0.710565,52.5,26.624148999999992
55,37.7,84.8,27,0.711805,efficientdet_lite3_detection_metadata_1,0.0,0.686429,53.0,27.310577999999992
56,37.7,0.0,28,0.687725,efficientdet_lite3_detection_metadata_1,0.0,0.686429,53.0,27.311873999999992
57,37.7,82.7,28,0.687725,efficientdet_lite3_detection_metadata_1,0.0,0.720425,52.0,28.03229899999999
58,37.7,0.0,29,0.721658,efficientdet_lite3_detection_metadata_1,0.0,0.720425,52.0,28.033531999999994
59,37.7,84.6,29,0.721658,efficientdet_lite3_detection_metadata_1,0.0,0.70109,55.0,28.734621999999995
60,37.7,0.0,30,0.702318,efficientdet_lite3_detection_metadata_1,0.0,0.70109,55.0,28.735849999999992
61,37.7,84.3,30,0.702318,efficientdet_lite3_detection_metadata_1,0.0,0.697131,53.0,29.43298099999999
62,37.7,100.0,31,0.698425,efficientdet_lite3_detection_metadata_1,0.0,0.697131,52.5,29.434274999999992
63,37.7,85.1,31,0.698425,efficientdet_lite3_detection_metadata_1,0.0,0.698929,52.5,30.133203999999992
